State,TotalSqMi,TotalKmQ,LandSqMi,LandKmQ,LandPer,WaterSqMi,WaterKmQ,WaterPer
Alabama,52420.07,135767,50645.33,131171,96.61,1774.74,4597,3.39
Alaska,665384.04,1723337,570640.95,1477953,85.76,94743.1,245384,14.24
Arizona,113990.3,295234,113594.08,294207,99.65,396.22,1026,0.35
Arkansas,53178.55,137732,52035.48,134771,97.85,1143.07,2961,2.15
California,163694.74,423967,155779.22,403466,95.16,7915.52,20501,4.84
Colorado,104093.67,269601,103641.89,268431,99.57,451.78,1170,0.43
Connecticut,5543.41,14357,4842.36,12542,87.35,701.06,1816,12.65
Delaware,2488.72,6446,1948.54,5047,78.29,540.18,1399,21.71
Florida,65757.7,170312,53624.76,138887,81.55,12132.94,31424,18.45
Georgia,59425.15,153910,57513.49,148959,96.78,1911.66,4951,3.22
Hawaii,10931.72,28313,6422.63,16635,58.75,4509.09,11678,41.25
Idaho,83568.95,216443,82643.12,214045,98.89,925.83,2398,1.11
Illinois,57913.55,149995,55518.93,143793,95.87,2394.62,6202,4.13
Indiana,36419.55,94326,35826.11,92789,98.37,593.44,1537,1.63
Iowa,56272.81,145746,55857.13,144669,99.26,415.68,1077,0.74
Kansas,82278.36,213100,81758.72,211754,99.37,519.64,1346,0.63
Kentucky,40407.8,104656,39486.34,102269,97.72,921.46,2387,2.28
Louisiana,52378.13,135659,43203.9,111898,82.48,9174.23,23761,17.52
Maine,35379.74,91633,30842.92,79883,87.18,4536.82,11750,12.82
Maryland,12405.93,32131,9707.24,25142,78.25,2698.69,6990,21.75
Massachusetts,10554.39,27336,7800.06,20202,73.9,2754.33,7134,26.1
Michigan,96713.51,250487,56538.9,146435,58.46,40174.61,104052,41.54
Minnesota,86935.83,225163,79626.74,206232,91.59,7309.09,18930,8.41
Mississippi,48431.78,125438,46923.27,121531,96.89,1508.51,3907,3.11
Missouri,69706.99,180540,68741.52,178040,98.61,965.47,2501,1.39
Montana,147039.71,380831,145545.8,376962,98.98,1493.91,3869,1.02
Nebraska,77347.81,200330,76824.17,198974,99.32,523.64,1356,0.68
Nevada,110571.82,286380,109781.18,284332,99.28,790.65,2048,0.72
New_Hampshire,9349.16,24214,8952.65,23187,95.76,396.51,1027,4.24
New_Jersey,8722.58,22591,7354.22,19047,84.31,1368.36,3544,15.69
New_Mexico,121590.3,314917,121298.15,314161,99.76,292.15,757,0.24
New_York,54554.98,141297,47126.4,122057,86.38,7428.58,19240,13.62
North_Carolina,53819.16,139391,48617.91,125920,90.34,5201.25,13471,9.66
North_Dakota,70698.32,183108,69000.8,178711,97.6,1697.52,4397,2.4
Ohio,44825.58,116098,40860.69,105829,91.15,3964.89,10269,8.85
Oklahoma,69898.87,181037,68594.92,177660,98.13,1303.95,3377,1.87
Oregon,98378.54,254799,95988.01,248608,97.57,2390.53,6191,2.43
Pennsylvania,46054.34,119280,44742.7,115883,97.15,1311.64,3397,2.85
Rhode_Island,1544.89,4001,1033.81,2678,66.92,511.07,1324,33.08
South_Carolina,32020.49,82933,30060.7,77857,93.88,1959.79,5076,6.12
South_Dakota,77115.68,199729,75811.0,196350,98.31,1304.68,3379,1.69
Tennessee,42144.25,109153,41234.9,106798,97.84,909.36,2355,2.16
Texas,268596.46,695662,261231.71,676587,97.26,7364.75,19075,2.74
Utah,84896.88,219882,82169.62,212818,96.79,2727.26,7064,3.21
Vermont,9616.36,24906,9216.66,23871,95.84,399.71,1035,4.16
Virginia,42774.93,110787,39490.09,102279,92.32,3284.84,8508,7.68
Washington,71297.95,184661,66455.52,172119,93.21,4842.43,12542,6.79
West_Virginia,24230.04,62756,24038.21,62259,99.21,191.83,497,0.79
Wisconsin,65496.38,169635,54157.8,140268,82.69,11338.57,29367,17.31
Wyoming,97813.01,253335,97093.14,251470,99.26,719.87,1864,0.74
