State,PopTot,MurderNMTot,MurderTot,GunMurderTot,GunOwnPer,MurderNMRate,MurderRate,GunMurderRate
Alabama,4853875,348,,,48.9,7.2,,
Alaska,737709,59,57.0,39.0,61.7,8.0,7.7,5.3
Arizona,6817565,306,278.0,171.0,32.3,4.5,4.1,2.5
Arkansas,2977853,181,164.0,110.0,57.9,6.1,5.5,3.7
California,38993940,1861,1861.0,1275.0,20.1,4.8,4.8,3.3
Colorado,5448819,176,176.0,115.0,34.3,3.2,3.2,2.1
Connecticut,3584730,117,107.0,73.0,16.6,3.3,3.0,2.0
Delaware,944076,63,63.0,52.0,5.2,6.7,6.7,5.5
District_of_Columbia,670377,162,162.0,121.0,25.9,24.2,24.2,18.0
Florida,20244914,1041,,,32.5,5.1,,
Georgia,10199398,615,565.0,464.0,31.6,6.0,5.5,4.5
Hawaii,1425157,19,19.0,4.0,45.1,1.3,1.3,0.3
Idaho,1652828,32,30.0,24.0,56.9,1.9,1.8,1.5
Illinois,12859995,744,497.0,440.0,26.2,5.8,3.9,3.4
Indiana,6612768,373,272.0,209.0,33.8,5.6,4.1,3.2
Iowa,3121997,72,72.0,49.0,33.8,2.3,2.3,1.6
Kansas,2906721,128,125.0,91.0,32.2,4.4,4.3,3.1
Kentucky,4424611,209,209.0,141.0,42.4,4.7,4.7,3.2
Louisiana,4668960,481,474.0,379.0,44.5,10.3,10.2,8.1
Maine,1329453,23,23.0,16.0,22.6,1.7,1.7,1.2
Maryland,5994983,516,372.0,279.0,20.7,8.6,6.2,4.7
Massachusetts,6784240,128,126.0,81.0,22.6,1.9,1.9,1.2
Michigan,9917715,571,571.0,389.0,28.8,5.8,5.8,3.9
Minnesota,5482435,133,133.0,79.0,36.7,2.4,2.4,1.4
Mississippi,2989390,259,159.0,126.0,42.8,8.7,5.3,4.2
Missouri,6076204,502,499.0,418.0,27.1,8.3,8.2,6.9
Montana,1032073,36,36.0,18.0,52.3,3.5,3.5,1.7
Nebraska,1893765,62,61.0,43.0,19.8,3.3,3.2,2.3
Nevada,2883758,178,177.0,113.0,37.5,6.2,6.1,3.9
New_Hampshire,1330111,14,14.0,8.0,14.4,1.1,1.1,0.6
New_Jersey,8935421,363,353.0,255.0,11.3,4.1,4.0,2.9
New_Mexico,2080328,117,94.0,56.0,49.9,5.6,4.5,2.7
New_York,19747183,609,611.0,383.0,10.3,3.1,3.1,1.9
North_Carolina,10035186,517,506.0,353.0,28.7,5.2,5.0,3.5
North_Dakota,756835,21,17.0,9.0,47.9,2.8,2.2,1.2
Ohio,11605090,500,480.0,316.0,19.6,4.3,4.1,2.7
Oklahoma,3907414,234,233.0,149.0,31.2,6.0,6.0,3.8
Oregon,4024634,99,71.0,34.0,26.6,2.5,1.8,0.8
Pennsylvania,12791904,658,651.0,497.0,27.1,5.1,5.1,3.9
Rhode_Island,1055607,29,27.0,10.0,5.8,2.7,2.6,0.9
South_Carolina,4894834,399,394.0,312.0,44.4,8.2,8.0,6.4
South_Dakota,857919,32,27.0,12.0,35.0,3.7,3.1,1.4
Tennessee,6595056,406,402.0,297.0,39.4,6.2,6.1,4.5
Texas,27429639,1316,1276.0,906.0,35.7,4.8,4.7,3.3
Utah,2990632,54,54.0,34.0,31.9,1.8,1.8,1.1
Vermont,626088,10,10.0,8.0,28.8,1.6,1.6,1.3
Virginia,8367587,383,383.0,275.0,29.3,4.6,4.6,3.3
Washington,7160290,211,209.0,141.0,27.7,2.9,2.9,2.0
West_Virginia,1841053,70,57.0,30.0,54.2,3.8,3.1,1.6
Wisconsin,5767891,240,238.0,170.0,34.7,4.2,4.1,2.9
Wyoming,586107,16,16.0,10.0,53.8,2.56,2.7,1.7
